# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-88.61082252925965,0.0,-0.039314389866742606,-25.435979125951906,0.0,0.0
 0.06840776949729178,0.0070194343913919065,0.10261165424593768,1.5,-88.61082252925965,0.0,-0.039314389866742606,-25.435979125951906,0.0,0.0
 0.09682632528706997,0.01406300590289623,0.2478511421765427,5.110727265839664,-88.62666133143847,0.0,-0.038601205566200475,-25.905926650011367,-0.5573401511317195,-19.61183936490496
 0.11868807538829738,0.021130288859067245,0.32327160101305097,3.4498820308202975,-88.6422657222452,0.0,-0.03790785024442102,-26.379760222545784,-0.7137759207053351,-7.155683732970332
 0.13716378911459584,0.02822085756640998,0.3837777967543398,3.274904376503946,-88.65764086496127,0.0,-0.03723363332467132,-26.8574380394242,-0.8321812593463989,-6.408701736513962
 0.15348026217054753,0.03533428631391001,0.43596607692771544,3.1985025191666123,-88.67279177234163,0.0,-0.03657789271088925,-27.33891774203547,-0.9285650966600111,-5.907148988822355
 0.1682659588737177,0.04247014937353749,0.48261933156639786,3.1552963364032465,-88.68772331222479,0.0,-0.03593999317522176,-27.82415664701444,-1.009863801680533,-5.4984696800314365
 0.18189378036047657,0.04962802100073794,0.5252396088512911,3.127446109145481,-88.70244021248799,0.0,-0.035319328467074716,-28.313109093572297,-1.079915838162274,-5.140369394316269
 0.19460639837871754,0.05680747543490418,0.5647502681087913,3.107987607336858,-88.71694706627304,0.0,-0.0347153144512151,-28.805730721675726,-1.1411381797388154,-4.8158720327076034
 0.20657216156398966,0.06400808689982856,0.60176783991406,3.093623969662987,-88.73124833657839,0.0,-0.03412739334720939,-29.301974218367025,-1.1951824621561857,-4.516576300280607
 0.21791348375620045,0.07122942960414576,0.6367284679802859,3.082588385526763,-88.7453483609515,0.0,-0.03355502839904279,-29.80179268835089,-1.2432434361829507,-4.237687036152922
 0.22872265263378597,0.07847107774175327,0.669954204584979,3.073847488273756,-88.75925135577415,0.0,-0.032997706598455835,-30.30513641959578,-1.2862223710358285,-3.9761553676898638
 0.23907126621187294,0.08573260549222232,0.7016908782684883,3.0667560870869894,-88.77296142053798,0.0,-0.032454933256671904,-30.81195675527774,-1.324821403407313,-3.7298747392807376
 0.24901618022555733,0.09301358702119085,0.732131169656144,3.0608903551875146,-88.78648254182511,0.0,-0.03192623531902142,-31.322202258034707,-1.3596016283818604,-3.4972876514255553
 0.25860342415978127,0.1003135964807456,0.7614294065780087,3.055960307558016,-88.79981859714616,0.0,-0.03141115697666567,-31.835821926039454,-1.3910207576386957,-3.277180540350842
 0.2678708743776771,0.1076322080097919,0.7897114478061894,3.051760793229502,-88.8129733587051,0.0,-0.030909261939870643,-32.35276215735435,-1.4194585619174913,-3.06856833434953
 0.27685013483159315,0.11496899573440697,0.8170815138139058,3.048142566772267,-88.82595049690818,0.0,-0.030420129539744125,-32.87296981077916,-1.4452346348212348,-2.8706231471993964
 0.2855678947503103,0.12232353376818644,0.8436270443728531,3.0449944488553355,-88.83875358376024,0.0,-0.029943357049230932,-33.396389000600855,-1.4686211792284525,-2.6826323075273235
 0.29404693073563887,0.1296953962125744,0.869422238228924,3.042231911824031,-88.85138609616476,0.0,-0.029478555721121975,-33.92296452581902,-1.4898524344503303,-2.5039704110956635
 0.3023068608298393,0.13708415715718775,0.8945306873482172,3.0397895421563708,-88.86385141908873,0.0,-0.02902535137614218,-34.45264062580703,-1.5091317700992386,-2.334079759639204
 0.3103647216637494,0.14448939068012492,0.9190073737403808,3.0376159252040944,-88.87615284851898,0.0,-0.028583386842544866,-34.98535724645313,-1.5266371167015669,-2.172455812175411
 0.3182354168937068,0.15191067084826704,0.9429002078361834,3.0356700898367674,-88.88829359441954,0.0,-0.02815231613953277,-35.52105606670686,-1.5425252211941958,-2.0186405429796785
 0.32593207034346927,0.15934757171757027,0.9662512308557653,3.033918984659823,-88.90027678349921,0.0,-0.027731806262003812,-36.059677849766686,-1.5569349923178413,-1.8722125424641876
 0.33346630747682887,0.16679966733334642,0.989097566730445,3.03233565260672,-88.91210546185803,0.0,-0.02732153786544426,-36.60116077377841,-1.5699901860609322,-1.7327824319845242
 0.3408484822033944,0.1742665317305365,1.011472184520337,3.030897888311211,-88.92378259765474,0.0,-0.026921202926463158,-37.14544267325493,-1.5818016003706945,-1.599991160769677
 0.34808786145069065,0.1817477389339728,1.0334045154811309,3.0295872355333855,-88.9353110834966,0.0,-0.026530504792173816,-37.69246035209206,-1.5924688358026033,-1.4735013966691985
 0.35519277672707716,0.1892428629586369,1.0549209572666485,3.0283882282211576,-88.94669373885357,0.0,-0.02614915762701923,-38.24214968082668,-1.602081786225594,-1.3530000076059265
 0.3621707496102784,0.1967514778099064,1.0760452895060297,3.027287808789851,-88.95793331239415,0.0,-0.02577688521700778,-38.79444671384084,-1.610721871335556,-1.2381941366900897
 0.3690285964382656,0.20427315748379435,1.096799019072814,3.02627487713599,-88.96903248414083,0.0,-0.02541342420928212,-39.34928216539805,-1.6184630577331538,-1.1288071302504996
 0.37577251626232805,0.2118074759671823,1.1172016690508861,3.025339937357337,-88.97999386759177,0.0,-0.025058516569888282,-39.9065921245177,-1.6253727412100532,-1.02457971879282
 0.3824081652179558,0.21935400723804496,1.1372710222204263,3.024474818324924,-88.99082001184361,0.0,-0.024711917285524857,-40.46630572795562,-1.631512505294706,-0.9252695743414061
